toss_win,5_total_runs,10_total_runs,15_total_runs,20_total_runs,20_player_dismissed,inn1_avg,roll_win
1,33.0,80.0,117.0,161.0,4.0,166.85714285714286,1.0
1,45.0,79.0,120.0,188.0,6.0,164.4179104477612,2.0
1,40.0,80.0,116.0,181.0,6.0,161.62337662337663,1.0
1,36.0,74.0,119.0,181.0,5.0,163.28571428571428,1.0
1,50.0,91.0,170.0,246.0,5.0,166.85714285714286,1.0
1,47.0,70.0,114.0,178.0,5.0,180.36363636363637,1.0
1,46.0,69.0,149.0,200.0,3.0,161.62337662337663,2.0
1,48.0,89.0,125.0,184.0,5.0,164.4179104477612,2.0
1,37.0,82.0,128.0,159.0,10.0,149.33333333333334,2.0
1,35.0,85.0,124.0,165.0,4.0,166.85714285714286,1.0
1,42.0,86.0,126.0,153.0,6.0,159.87234042553192,0.0
1,41.0,88.0,126.0,181.0,3.0,161.62337662337663,1.0
0,39.0,68.0,107.0,184.0,6.0,170.57534246575344,1.0
1,45.0,74.0,109.0,154.0,9.0,163.28571428571428,2.0
1,41.0,74.0,110.0,138.0,8.0,149.33333333333334,2.0
0,51.0,83.0,124.0,160.0,9.0,170.57534246575344,1.0
1,44.0,63.0,81.0,111.0,10.0,164.4179104477612,2.0
0,41.0,73.0,106.0,174.0,5.0,159.87234042553192,1.0
0,28.0,71.0,111.0,151.0,6.0,149.33333333333334,1.0
1,40.0,66.0,108.0,183.0,4.0,180.36363636363637,1.0
1,21.0,51.0,93.0,139.0,8.0,166.85714285714286,1.0
1,24.0,53.0,87.0,130.0,6.0,159.87234042553192,2.0
1,34.0,55.0,74.0,112.0,9.0,166.85714285714286,1.0
0,34.0,72.0,98.0,174.0,3.0,175.66666666666666,0.0
0,29.0,75.0,138.0,191.0,4.0,170.57534246575344,2.0
1,32.0,73.0,101.0,132.0,9.0,161.62337662337663,1.0
0,43.0,86.0,131.0,192.0,3.0,175.66666666666666,0.0
1,34.0,79.0,117.0,145.0,7.0,164.4179104477612,1.0
1,29.0,69.0,86.0,133.0,8.0,161.62337662337663,2.0
1,39.0,81.0,107.0,184.0,5.0,146.64705882352942,1.0
1,31.0,62.0,96.0,142.0,7.0,146.64705882352942,0.0
1,29.0,58.0,108.0,168.0,5.0,146.64705882352942,1.0
1,32.0,78.0,107.0,153.0,4.0,166.85714285714286,2.0
0,40.0,69.0,90.0,137.0,8.0,156.58928571428572,2.0
1,26.0,46.0,68.0,112.0,8.0,146.64705882352942,0.0
1,34.0,65.0,118.0,163.0,4.0,161.62337662337663,0.0
1,30.0,43.0,89.0,151.0,6.0,159.87234042553192,1.0
0,20.0,50.0,91.0,140.0,4.0,170.57534246575344,0.0
0,27.0,67.0,126.0,188.0,4.0,163.28571428571428,2.0
0,34.0,73.0,114.0,175.0,5.0,156.58928571428572,1.0
0,29.0,67.0,102.0,159.0,4.0,159.87234042553192,0.0
0,35.0,71.0,125.0,182.0,2.0,167.87671232876713,1.0
1,33.0,80.0,126.0,183.0,5.0,166.85714285714286,1.0
0,38.0,81.0,113.0,165.0,8.0,156.58928571428572,1.0
1,36.0,90.0,129.0,168.0,4.0,164.4179104477612,1.0
0,38.0,55.0,100.0,132.0,7.0,161.62337662337663,0.0
0,73.0,106.0,169.0,195.0,7.0,163.28571428571428,0.0
0,31.0,67.0,107.0,164.0,4.0,167.87671232876713,1.0
0,44.0,76.0,114.0,171.0,5.0,161.62337662337663,1.0
0,52.0,115.0,173.0,231.0,4.0,164.4179104477612,0.0
0,47.0,72.0,102.0,172.0,4.0,156.58928571428572,1.0
0,29.0,54.0,88.0,109.0,10.0,159.87234042553192,1.0
0,35.0,66.0,99.0,142.0,6.0,166.85714285714286,1.0
0,34.0,69.0,115.0,160.0,6.0,164.4179104477612,1.0
